worker_id,week_start,income_cad,expense_cad,essential_expense_cad,net_cashflow_cad,advances_count,advances_amount_cad,advance_fees_cad,ending_balance_cad,buffer_days_estimate,negative_balance_flag
W-0003,2026-04-27,879.90,2117.41,2062.49,-1237.51,0,0.00,0.00,1527.97,5.19,0
W-0003,2026-05-04,391.07,425.60,353.79,-34.53,0,0.00,0.00,1160.37,22.96,0
W-0003,2026-05-11,594.41,539.24,511.33,55.17,0,0.00,0.00,621.13,8.5,0
W-0003,2026-05-18,645.83,204.91,97.26,440.92,0,0.00,0.00,416.22,29.96,0
W-0003,2026-05-25,207.50,426.42,378.84,-218.92,0,0.00,0.00,-10.20,-0.19,1
W-0003,2026-06-01,893.45,1547.00,1547.00,-653.55,0,0.00,0.00,-15.20,-0.07,1
W-0003,2026-06-08,125.08,58.00,58.00,67.08,0,0.00,0.00,6770.17,817.09,0
W-0003,2026-06-15,422.55,0.00,0.00,422.55,0,0.00,0.00,7106.95,,0
W-0003,2026-06-22,798.14,0.00,0.00,798.14,0,0.00,0.00,8305.85,,0
W-0003,2026-06-29,600.01,5.00,5.00,595.01,0,0.00,0.00,8590.87,12027.22,0
W-0004,2026-03-30,369.05,1955.93,1886.67,-1586.88,0,0.00,0.00,3136.02,11.64,0
W-0004,2026-04-06,455.50,471.43,364.40,-15.93,0,0.00,0.00,3612.92,69.4,0
W-0004,2026-04-13,899.00,347.65,191.26,551.35,0,0.00,0.00,2426.93,88.82,0
W-0004,2026-04-20,773.71,441.86,285.12,331.85,0,0.00,0.00,2114.18,51.91,0
W-0004,2026-04-27,346.37,2032.17,1909.48,-1685.80,0,0.00,0.00,5667.92,20.78,0
W-0004,2026-05-04,845.44,310.06,251.40,535.38,0,0.00,0.00,1438.84,40.06,0
W-0004,2026-05-11,692.46,1026.01,785.39,-333.55,0,0.00,0.00,522.82,4.66,0
W-0004,2026-05-18,391.28,507.99,471.42,-116.71,0,0.00,0.00,3789.92,56.28,0
W-0004,2026-05-25,871.42,190.56,190.56,680.86,0,0.00,0.00,6047.67,222.15,0
W-0004,2026-06-01,445.97,1722.91,1714.00,-1276.94,0,0.00,0.00,6493.64,26.52,0
W-0004,2026-06-08,512.72,115.15,100.00,397.57,0,0.00,0.00,-122.79,-8.6,1
W-0004,2026-06-15,557.75,14.99,0.00,542.76,0,0.00,0.00,7299.78,,0
W-0004,2026-06-22,991.10,82.00,82.00,909.10,0,0.00,0.00,8331.90,711.26,0
W-0004,2026-06-29,540.71,5.00,5.00,535.71,0,0.00,0.00,8818.02,12345.23,0
W-0005,2026-03-30,569.23,169.51,136.87,399.72,1,105.84,1.99,4785.56,244.75,0
W-0005,2026-04-06,631.86,967.27,833.59,-335.41,0,0.00,0.00,4002.29,33.61,0
W-0005,2026-04-13,803.86,1473.18,1441.59,-669.32,0,0.00,0.00,3758.11,18.25,0
W-0005,2026-04-20,678.55,753.57,650.69,-75.02,0,0.00,0.00,3063.53,32.96,0
W-0005,2026-04-27,570.50,676.00,532.45,-105.50,0,0.00,0.00,2485.08,32.67,0
W-0005,2026-05-04,726.17,672.96,672.96,53.21,0,0.00,0.00,4398.53,45.75,0
W-0005,2026-05-11,679.17,1505.97,1309.64,-826.80,1,114.65,3.44,4968.04,26.55,0
W-0005,2026-05-18,336.66,456.40,186.27,-119.74,0,0.00,0.00,1224.79,46.03,0
W-0005,2026-05-25,662.89,918.73,812.86,-255.84,0,0.00,0.00,6141.48,52.89,0
W-0005,2026-06-01,1035.50,292.08,184.41,743.42,1,26.78,1.99,7136.94,270.91,0
W-0005,2026-06-08,390.23,219.02,219.02,171.21,0,0.00,0.00,-21.64,-0.69,1
W-0005,2026-06-15,968.79,1234.00,1234.00,-265.21,0,0.00,0.00,8149.25,46.23,0
W-0005,2026-06-22,720.96,63.99,54.00,656.97,0,0.00,0.00,8902.66,1154.05,0
W-0005,2026-06-29,287.97,0.00,0.00,287.97,0,0.00,0.00,9251.18,,0
W-0006,2026-03-30,557.33,1301.11,1250.45,-743.78,1,80.38,2.41,9904.59,55.45,0
W-0006,2026-04-06,1292.75,399.29,304.76,893.46,1,95.68,1.99,9496.02,218.11,0
W-0006,2026-04-13,731.63,801.46,654.41,-69.83,0,0.00,0.00,9167.18,98.06,0
W-0006,2026-04-20,1265.38,554.38,397.87,711.00,0,0.00,0.00,8692.69,152.94,0
W-0006,2026-04-27,1477.99,1205.01,1097.80,272.98,0,0.00,0.00,5534.42,35.29,0
W-0006,2026-05-04,972.79,436.77,423.28,536.02,1,57.91,1.99,7757.02,128.28,0
W-0006,2026-05-11,1336.89,866.02,683.45,470.87,1,94.94,1.99,7405.00,75.84,0
W-0006,2026-05-18,880.18,247.20,115.87,632.98,0,0.00,0.00,7157.80,432.42,0
W-0006,2026-05-25,548.12,503.08,439.87,45.04,1,30.92,2.16,6716.72,106.89,0
W-0006,2026-06-01,1199.14,1131.36,1081.93,67.78,0,0.00,0.00,6351.39,41.09,0
W-0006,2026-06-08,1250.33,283.34,130.44,966.99,0,0.00,0.00,6026.02,323.38,0
W-0006,2026-06-15,919.01,1029.55,932.61,-110.54,0,0.00,0.00,5510.47,41.36,0
W-0006,2026-06-22,1229.10,607.22,472.37,621.88,1,77.54,0.00,4965.25,73.58,0
W-0006,2026-06-29,461.06,142.10,126.65,318.96,1,27.94,1.99,14331.04,792.08,0
W-0007,2026-03-30,438.22,1261.35,1220.35,-823.13,0,0.00,0.00,3173.03,18.2,0
W-0007,2026-04-06,384.76,204.26,193.10,180.50,0,0.00,0.00,1122.53,40.69,0
W-0007,2026-04-13,717.47,489.35,378.06,228.12,0,0.00,0.00,2599.41,48.13,0
W-0007,2026-04-20,753.36,1092.68,984.77,-339.32,0,0.00,0.00,1598.73,11.36,0
W-0007,2026-04-27,565.09,1600.13,1472.41,-1035.04,0,0.00,0.00,1035.32,4.92,0
W-0007,2026-05-04,411.04,712.84,712.84,-301.80,0,0.00,0.00,288.76,2.84,0
W-0007,2026-05-11,305.73,547.91,439.58,-242.18,0,0.00,0.00,3875.22,61.71,0
W-0007,2026-05-18,520.79,121.99,97.00,398.80,0,0.00,0.00,4396.01,317.24,0
W-0007,2026-05-25,95.46,143.52,68.00,-48.06,0,0.00,0.00,-244.67,-25.19,1
W-0007,2026-06-01,473.64,1065.22,950.00,-591.58,0,0.00,0.00,4965.11,36.59,0
W-0007,2026-06-08,481.97,5.00,5.00,476.97,0,0.00,0.00,5447.08,7625.91,0
W-0007,2026-06-15,619.30,211.99,187.00,407.31,0,0.00,0.00,3574.35,133.8,0
W-0007,2026-06-22,598.33,68.00,68.00,530.33,0,0.00,0.00,4135.35,425.7,0
W-0007,2026-06-29,479.64,0.00,0.00,479.64,0,0.00,0.00,7018.44,,0
W-0008,2026-03-30,625.25,353.97,353.97,271.28,0,0.00,0.00,664.87,13.15,0
W-0008,2026-04-06,990.99,494.01,220.52,496.98,1,73.89,5.17,1655.86,52.56,0
W-0008,2026-04-13,1443.74,1962.85,1734.27,-519.11,1,113.00,7.91,5300.37,21.39,0
W-0008,2026-04-20,566.40,456.85,154.70,109.55,1,67.48,3.37,4843.52,219.16,0
W-0008,2026-04-27,552.44,716.61,412.32,-164.17,0,0.00,0.00,4218.44,71.62,0
W-0008,2026-05-04,666.85,417.61,273.08,249.24,0,0.00,0.00,3897.30,99.9,0
W-0008,2026-05-11,1410.92,2093.44,1844.33,-682.52,0,0.00,0.00,6296.21,23.9,0
W-0008,2026-05-18,703.45,740.41,620.67,-36.96,1,39.08,0.00,2575.17,29.04,0
W-0008,2026-05-25,698.92,734.46,523.75,-35.54,1,59.09,1.99,1885.98,25.21,0
W-0008,2026-06-01,841.10,132.64,92.93,708.46,0,0.00,0.00,8539.68,643.26,0
W-0008,2026-06-08,677.24,474.23,386.97,203.01,0,0.00,0.00,1534.08,27.75,0
W-0008,2026-06-15,531.87,1762.63,1677.22,-1230.76,0,0.00,0.00,1120.54,4.68,0
W-0008,2026-06-22,1344.35,346.29,253.12,998.06,1,26.43,1.99,11093.14,306.78,0
W-0008,2026-06-29,429.04,46.37,46.37,382.67,0,0.00,0.00,11522.18,1739.38,0
W-0009,2026-03-30,333.48,568.28,543.15,-234.80,0,0.00,0.00,704.93,9.08,0
W-0009,2026-04-06,314.30,295.82,247.15,18.48,0,0.00,0.00,1019.23,28.87,0
W-0009,2026-04-13,700.61,2097.42,2072.09,-1396.81,0,0.00,0.00,1719.84,5.81,0
W-0009,2026-04-20,455.45,89.52,29.48,365.93,0,0.00,0.00,602.34,143.03,0
W-0009,2026-04-27,641.04,748.70,532.84,-107.66,0,0.00,0.00,2816.33,37.0,0
W-0009,2026-05-04,611.45,55.00,55.00,556.45,0,0.00,0.00,3427.78,436.26,0
W-0009,2026-05-11,554.95,1877.99,1863.00,-1323.04,0,0.00,0.00,-11.36,-0.04,1
W-0009,2026-05-18,513.48,0.00,0.00,513.48,0,0.00,0.00,4496.21,,0
W-0009,2026-05-25,752.54,145.00,145.00,607.54,0,0.00,0.00,5248.75,253.39,0
W-0009,2026-06-01,754.94,74.32,60.00,680.62,0,0.00,0.00,6003.69,700.43,0
W-0009,2026-06-08,658.30,140.00,140.00,518.30,0,0.00,0.00,6661.99,333.1,0
W-0009,2026-06-15,618.55,1783.34,1718.00,-1164.79,0,0.00,0.00,7280.54,29.66,0
W-0009,2026-06-22,458.79,157.92,140.00,300.87,0,0.00,0.00,7739.33,386.97,0
W-0009,2026-06-29,190.03,0.00,0.00,190.03,0,0.00,0.00,7929.36,,0
W-0010,2026-03-30,370.45,2120.84,2014.06,-1750.39,0,0.00,0.00,2657.97,9.24,0
W-0010,2026-04-06,672.06,310.85,204.94,361.21,0,0.00,0.00,2347.12,80.17,0
W-0010,2026-04-13,522.18,267.76,183.80,254.42,0,0.00,0.00,2079.36,79.19,0
W-0010,2026-04-20,1152.41,171.23,100.82,981.18,0,0.00,0.00,2917.31,202.55,0
W-0010,2026-04-27,474.96,2413.63,2347.30,-1938.67,0,0.00,0.00,1488.50,4.44,0
W-0010,2026-05-04,163.96,205.65,148.98,-41.69,0,0.00,0.00,1282.85,60.28,0
W-0010,2026-05-11,1090.90,264.26,217.87,826.64,0,0.00,0.00,1061.63,34.11,0
W-0010,2026-05-18,803.52,410.22,90.68,393.30,0,0.00,0.00,668.37,51.59,0
W-0010,2026-05-25,929.33,424.54,187.56,504.79,0,0.00,0.00,6519.19,243.31,0
W-0010,2026-06-01,570.36,2152.18,2095.60,-1581.82,0,0.00,0.00,25.65,0.09,0
W-0010,2026-06-08,650.81,15.92,15.92,634.89,0,0.00,0.00,7740.36,3403.42,0
W-0010,2026-06-15,331.20,34.40,5.00,296.80,0,0.00,0.00,7894.90,11052.86,0
W-0010,2026-06-22,649.11,60.00,60.00,589.11,0,0.00,0.00,8329.53,971.78,0
W-0010,2026-06-29,106.14,5.00,5.00,101.14,0,0.00,0.00,8826.81,12357.53,0
W-0011,2026-03-30,237.01,1326.93,1166.46,-1089.92,1,121.02,1.99,386.98,2.32,0
W-0011,2026-04-06,605.03,319.40,211.50,285.63,0,0.00,0.00,4244.11,140.47,0
W-0011,2026-04-13,558.14,334.41,187.81,223.73,1,108.41,5.42,3943.59,146.98,0
W-0011,2026-04-20,510.52,347.21,257.31,163.31,0,0.00,0.00,4888.44,132.99,0
W-0011,2026-04-27,848.76,1478.83,1357.88,-630.07,0,0.00,0.00,3348.66,17.26,0
W-0011,2026-05-04,513.06,190.52,177.33,322.54,0,0.00,0.00,3158.14,124.67,0
W-0011,2026-05-11,326.95,253.45,85.40,73.50,0,0.00,0.00,2904.69,238.09,0
W-0011,2026-05-18,609.32,385.63,370.37,223.69,0,0.00,0.00,2584.06,48.84,0
W-0011,2026-05-25,497.55,712.73,555.00,-215.18,0,0.00,0.00,1937.33,24.43,0
W-0011,2026-06-01,1214.36,1431.20,1308.23,-216.84,0,0.00,0.00,1640.13,8.78,0
W-0011,2026-06-08,494.66,368.32,237.91,126.34,0,0.00,0.00,1303.30,38.35,0
W-0011,2026-06-15,259.23,330.48,73.56,-71.25,0,0.00,0.00,941.33,89.58,0
W-0011,2026-06-22,1099.13,468.05,307.14,631.08,0,0.00,0.00,604.28,13.77,0
W-0011,2026-06-29,477.12,134.97,46.53,342.15,0,0.00,0.00,8551.44,1286.48,0
W-0012,2026-03-30,353.66,5.00,5.00,348.66,1,29.83,0.00,537.14,752.0,0
W-0012,2026-04-06,353.15,5.00,5.00,348.15,0,0.00,0.00,890.29,1246.41,0
W-0012,2026-04-13,507.26,1993.00,1993.00,-1485.74,1,23.79,0.00,1397.55,4.91,0
W-0012,2026-04-20,347.07,0.00,0.00,347.07,0,0.00,0.00,1744.62,,0
W-0012,2026-04-27,356.85,5.00,5.00,351.85,0,0.00,0.00,2101.47,2942.06,0
W-0012,2026-05-04,509.61,0.00,0.00,509.61,0,0.00,0.00,2611.08,,0
W-0012,2026-05-11,452.93,2017.99,1998.00,-1565.06,3,98.07,3.98,3064.01,10.73,0
W-0012,2026-05-18,597.42,26.69,0.00,570.73,0,0.00,0.00,3661.43,,0
W-0012,2026-05-25,328.40,111.36,80.00,217.04,1,24.72,1.99,3989.83,349.11,0
W-0012,2026-06-01,394.54,0.00,0.00,394.54,0,0.00,0.00,4384.37,,0
W-0012,2026-06-08,246.53,5.00,5.00,241.53,0,0.00,0.00,-791.77,-1108.48,1
W-0012,2026-06-15,199.93,2017.99,1998.00,-1818.06,0,0.00,0.00,4830.83,16.92,0
W-0012,2026-06-22,559.43,0.00,0.00,559.43,0,0.00,0.00,5390.26,,0
W-0013,2026-03-30,393.32,1442.43,1346.88,-1049.11,0,0.00,0.00,3830.52,19.91,0
W-0013,2026-04-06,951.55,1601.70,1464.16,-650.15,0,0.00,0.00,3060.25,14.63,0
W-0013,2026-04-13,798.08,451.46,201.54,346.62,0,0.00,0.00,2581.35,89.66,0
W-0013,2026-04-20,402.72,368.47,300.77,34.25,0,0.00,0.00,2212.88,51.5,0
W-0013,2026-04-27,513.72,1101.09,1050.96,-587.37,0,0.00,0.00,3439.21,22.91,0
W-0013,2026-05-04,1043.01,1177.55,1055.86,-134.54,0,0.00,0.00,4041.13,26.79,0
W-0013,2026-05-11,1108.83,399.54,204.40,709.29,0,0.00,0.00,1318.69,45.16,0
W-0013,2026-05-18,467.39,428.21,302.05,39.18,0,0.00,0.00,5755.71,133.39,0
W-0013,2026-05-25,572.26,848.13,546.34,-275.87,0,0.00,0.00,127.35,1.63,0
W-0013,2026-06-01,635.53,1888.92,1831.07,-1253.39,0,0.00,0.00,6752.97,25.82,0
W-0013,2026-06-08,537.22,33.93,0.00,503.29,0,0.00,0.00,7703.01,,0
W-0013,2026-06-15,873.59,90.00,90.00,783.59,0,0.00,0.00,7937.88,617.39,0
W-0013,2026-06-22,886.97,11.88,0.00,875.09,0,0.00,0.00,8981.89,,0
W-0013,2026-06-29,553.64,40.22,0.00,513.42,0,0.00,0.00,9474.41,,0
W-0014,2026-03-30,556.72,940.00,940.00,-383.28,0,0.00,0.00,589.68,4.39,0
W-0014,2026-04-06,456.27,82.00,82.00,374.27,0,0.00,0.00,1045.95,89.29,0
W-0014,2026-04-13,270.85,816.00,816.00,-545.15,0,0.00,0.00,1316.80,11.3,0
W-0014,2026-04-20,251.43,226.67,188.00,24.76,1,52.30,1.99,1568.23,58.39,0
W-0014,2026-04-27,405.30,940.00,940.00,-534.70,1,77.00,3.85,1973.53,14.7,0
W-0014,2026-05-04,610.14,82.00,82.00,528.14,0,0.00,0.00,2583.67,220.56,0
W-0014,2026-05-11,100.11,816.00,816.00,-715.89,0,0.00,0.00,655.94,5.63,0
W-0014,2026-05-18,311.81,217.84,183.00,93.97,0,0.00,0.00,2995.59,114.59,0
W-0014,2026-05-25,542.81,5.00,5.00,537.81,1,67.33,4.71,3538.40,4953.76,0
W-0014,2026-06-01,731.12,940.00,940.00,-208.88,0,0.00,0.00,4269.52,31.79,0
W-0014,2026-06-08,308.57,82.00,82.00,226.57,0,0.00,0.00,4578.09,390.81,0
W-0014,2026-06-15,618.56,999.00,999.00,-380.44,2,97.59,3.98,5196.65,36.41,0
W-0014,2026-06-22,576.07,0.00,0.00,576.07,0,0.00,0.00,5772.72,,0
W-0014,2026-06-29,130.22,5.00,5.00,125.22,0,0.00,0.00,-248.57,-348.0,1
W-0015,2026-03-30,347.45,1366.76,1333.93,-1019.31,0,0.00,0.00,3559.41,18.68,0
W-0015,2026-04-06,634.40,460.69,247.83,173.71,0,0.00,0.00,584.73,16.52,0
W-0015,2026-04-13,433.98,242.22,202.10,191.76,2,195.80,1.99,2950.38,102.19,0
W-0015,2026-04-20,689.82,974.92,974.92,-285.10,0,0.00,0.00,1901.57,13.65,0
W-0015,2026-04-27,526.51,1862.96,1743.59,-1336.45,1,48.34,2.42,1263.61,5.07,0
W-0015,2026-05-04,848.79,291.96,196.83,556.83,0,0.00,0.00,971.65,34.56,0
W-0015,2026-05-11,358.78,505.25,359.66,-146.47,0,0.00,0.00,607.12,11.82,0
W-0015,2026-05-18,155.93,440.02,353.96,-284.09,0,0.00,0.00,46.37,0.92,0
W-0015,2026-05-25,953.35,66.02,66.02,887.33,0,0.00,0.00,-19.65,-2.08,1
W-0015,2026-06-01,107.30,1225.00,1225.00,-1117.70,0,0.00,0.00,5088.63,29.08,0
W-0015,2026-06-08,551.87,0.00,0.00,551.87,1,49.71,1.99,5497.03,,0
W-0015,2026-06-15,625.92,19.99,0.00,605.93,0,0.00,0.00,6266.42,,0
W-0015,2026-06-22,708.72,0.00,0.00,708.72,0,0.00,0.00,7092.43,,0
W-0015,2026-06-29,461.00,7.23,0.00,453.77,0,0.00,0.00,7436.14,,0
W-0016,2026-03-30,318.86,352.00,321.12,-33.14,0,0.00,0.00,445.03,9.7,0
W-0016,2026-04-06,193.49,435.64,381.23,-242.15,1,33.17,0.00,900.15,16.53,0
W-0016,2026-04-13,222.92,996.89,984.64,-773.97,0,0.00,0.00,1123.07,7.98,0
W-0016,2026-04-20,435.69,106.00,106.00,329.69,1,78.76,1.99,1558.76,102.94,0
W-0016,2026-04-27,298.28,226.52,193.00,71.76,1,20.14,1.99,1857.04,67.35,0
W-0016,2026-05-04,601.09,42.71,0.00,558.38,0,0.00,0.00,2458.13,,0
W-0016,2026-05-11,246.20,979.00,979.00,-732.80,1,46.17,0.00,2704.33,19.34,0
W-0016,2026-05-18,455.76,0.00,0.00,455.76,0,0.00,0.00,3160.09,,0
W-0016,2026-05-25,230.20,213.00,213.00,17.20,0,0.00,0.00,3390.29,111.42,0
W-0016,2026-06-01,524.89,81.00,81.00,443.89,3,210.93,10.54,3915.18,338.35,0
W-0016,2026-06-08,305.43,107.00,107.00,198.43,0,0.00,0.00,4220.61,276.11,0
W-0016,2026-06-15,47.59,906.53,872.00,-858.94,0,0.00,0.00,-124.25,-1.0,1
W-0016,2026-06-22,182.59,213.00,213.00,-30.41,1,65.01,1.99,4450.79,146.27,0
W-0016,2026-06-29,84.24,0.00,0.00,84.24,0,0.00,0.00,4535.03,,0
W-0017,2026-03-30,227.92,1815.55,1720.50,-1587.63,0,0.00,0.00,3733.74,15.19,0
W-0017,2026-04-06,794.09,510.59,336.80,283.50,0,0.00,0.00,3279.15,68.15,0
W-0017,2026-04-13,659.25,606.86,593.75,52.39,0,0.00,0.00,1994.85,23.52,0
W-0017,2026-04-20,430.44,559.37,340.62,-128.93,0,0.00,0.00,2300.92,47.29,0
W-0017,2026-04-27,524.64,2032.97,2004.98,-1508.33,0,0.00,0.00,1908.80,6.66,0
W-0017,2026-05-04,866.74,629.50,496.61,237.24,0,0.00,0.00,3816.67,53.8,0
W-0017,2026-05-11,650.38,330.25,282.23,320.13,0,0.00,0.00,983.20,24.39,0
W-0017,2026-05-18,954.11,355.95,148.48,598.16,0,0.00,0.00,666.93,31.44,0
W-0017,2026-05-25,897.52,728.76,594.69,168.76,0,0.00,0.00,123.64,1.46,0
W-0017,2026-06-01,211.14,1795.43,1675.00,-1584.29,0,0.00,0.00,6529.82,27.29,0
W-0017,2026-06-08,647.62,0.00,0.00,647.62,0,0.00,0.00,7057.57,,0
W-0017,2026-06-15,674.79,10.00,10.00,664.79,0,0.00,0.00,7725.43,5407.8,0
W-0017,2026-06-22,991.39,222.10,188.00,769.29,0,0.00,0.00,8843.62,329.28,0
W-0017,2026-06-29,675.67,0.00,0.00,675.67,0,0.00,0.00,9417.67,,0
W-0018,2026-03-30,400.58,2079.47,2010.26,-1678.89,0,0.00,0.00,7400.13,25.77,0
W-0018,2026-04-06,1044.99,728.67,650.06,316.32,0,0.00,0.00,5773.40,62.17,0
W-0018,2026-04-13,1324.49,551.92,433.80,772.57,0,0.00,0.00,5167.81,83.39,0
W-0018,2026-04-20,232.56,761.70,539.59,-529.14,0,0.00,0.00,4511.37,58.53,0
W-0018,2026-04-27,733.35,1900.99,1828.28,-1167.64,0,0.00,0.00,4208.38,16.11,0
W-0018,2026-05-04,1109.11,803.58,612.66,305.53,1,116.78,3.50,3594.80,41.07,0
W-0018,2026-05-11,1610.23,576.44,413.48,1033.79,0,0.00,0.00,3073.36,52.03,0
W-0018,2026-05-18,935.10,498.20,353.72,436.90,0,0.00,0.00,2690.16,53.24,0
W-0018,2026-05-25,667.26,207.77,150.78,459.49,0,0.00,0.00,8294.40,385.07,0
W-0018,2026-06-01,975.58,2900.48,2771.87,-1924.90,0,0.00,0.00,9497.56,23.98,0
W-0018,2026-06-08,793.96,493.34,330.82,300.62,1,115.07,1.99,931.57,19.71,0
W-0018,2026-06-15,1262.67,471.54,351.22,791.13,0,0.00,0.00,599.13,11.94,0
W-0018,2026-06-22,951.33,678.08,519.11,273.25,0,0.00,0.00,11870.03,160.06,0
W-0018,2026-06-29,271.19,5.00,5.00,266.19,0,0.00,0.00,12549.13,17568.78,0
W-0019,2026-03-30,748.59,360.02,289.32,388.57,0,0.00,0.00,11174.62,270.37,0
W-0019,2026-04-06,1341.73,569.96,500.97,771.77,0,0.00,0.00,2199.04,30.73,0
W-0019,2026-04-13,671.81,1484.59,1401.61,-812.78,0,0.00,0.00,10552.06,52.7,0
W-0019,2026-04-20,764.90,391.58,369.51,373.32,0,0.00,0.00,3840.28,72.75,0
W-0019,2026-04-27,1356.88,885.11,844.45,471.77,1,57.40,0.00,4668.47,38.7,0
W-0019,2026-05-04,866.27,596.64,510.99,269.63,1,27.52,1.99,9118.73,124.92,0
W-0019,2026-05-11,1215.05,1760.13,1615.10,-545.08,1,103.10,3.09,8522.60,36.94,0
W-0019,2026-05-18,1215.51,899.08,709.55,316.43,1,108.27,5.41,7633.51,75.31,0
W-0019,2026-05-25,1276.95,925.15,700.78,351.80,1,75.94,0.00,6890.36,68.83,0
W-0019,2026-06-01,2032.84,25.04,25.04,2007.80,1,120.43,8.43,10390.50,2904.69,0
W-0019,2026-06-08,1607.52,1353.04,1158.45,254.48,0,0.00,0.00,6042.79,36.51,0
W-0019,2026-06-15,1017.62,1132.78,1058.96,-115.16,1,35.81,0.00,5811.49,38.42,0
W-0019,2026-06-22,1222.15,544.83,418.04,677.32,0,0.00,0.00,5448.66,91.24,0
W-0019,2026-06-29,930.07,19.19,19.19,910.88,0,0.00,0.00,16094.37,5870.8,0
W-0020,2026-03-30,601.06,1570.20,1532.94,-969.14,0,0.00,0.00,902.40,4.12,0
W-0020,2026-04-06,420.73,593.73,424.27,-173.00,0,0.00,0.00,3406.61,56.21,0
W-0020,2026-04-13,909.45,426.25,346.05,483.20,0,0.00,0.00,3087.36,62.45,0
W-0020,2026-04-20,733.83,821.97,459.19,-88.14,0,0.00,0.00,2368.38,36.1,0
W-0020,2026-04-27,1131.13,1981.21,1981.21,-850.08,0,0.00,0.00,4097.54,14.48,0
W-0020,2026-05-04,270.19,568.93,498.78,-298.74,0,0.00,0.00,6324.51,88.76,0
W-0020,2026-05-11,592.99,841.37,715.96,-248.38,0,0.00,0.00,4960.72,48.5,0
W-0020,2026-05-18,743.13,448.03,358.81,295.10,0,0.00,0.00,5703.85,111.28,0
W-0020,2026-05-25,856.78,345.80,263.93,510.98,0,0.00,0.00,6560.63,174.0,0
W-0020,2026-06-01,772.90,1319.00,1319.00,-546.10,0,0.00,0.00,7333.53,38.92,0
W-0020,2026-06-08,730.92,270.60,270.60,460.32,0,0.00,0.00,8064.45,208.61,0
W-0020,2026-06-15,407.23,83.00,83.00,324.23,0,0.00,0.00,5984.51,504.72,0
W-0020,2026-06-22,636.46,131.99,112.00,504.47,0,0.00,0.00,9108.14,569.26,0
