earnings_id,worker_id,work_date,employer_id,shift_type,hours_worked,gross_pay_cad,tips_cad,deductions_cad,net_pay_cad,paid_same_day,pay_method
E-000020,W-0001,2026-05-04,EMP-012,evening,10.0,361.81,0.00,45.08,316.73,0,cash
E-000021,W-0001,2026-05-07,EMP-012,night,9.0,196.41,0.00,17.80,178.61,0,cash
E-000022,W-0001,2026-05-10,EMP-012,day,8.5,157.96,0.00,16.17,141.79,1,cash
E-000023,W-0001,2026-05-11,EMP-012,evening,8.0,209.03,0.00,34.99,174.04,0,etransfer
E-000024,W-0001,2026-05-13,EMP-012,day,8.5,226.58,0.00,34.46,192.12,0,payroll_card
E-000025,W-0001,2026-05-14,EMP-012,night,8.0,209.44,0.00,30.43,179.01,1,payroll_card
E-000026,W-0001,2026-05-15,EMP-012,split,8.5,183.19,0.00,32.87,150.32,1,payroll_card
E-000027,W-0001,2026-05-18,EMP-012,night,10.0,250.64,0.00,43.75,206.89,0,direct_deposit
E-000028,W-0001,2026-05-21,EMP-012,evening,9.0,268.82,0.00,36.78,232.04,0,direct_deposit
E-000029,W-0001,2026-05-22,EMP-012,split,10.0,217.94,0.00,17.55,200.39,0,payroll_card
E-000030,W-0001,2026-05-26,EMP-012,evening,10.0,133.27,0.00,21.79,111.48,0,cash
E-000031,W-0001,2026-05-28,EMP-012,evening,8.5,185.59,0.00,24.11,161.48,1,etransfer
E-000032,W-0001,2026-06-01,EMP-016,day,9.0,287.95,0.00,33.31,254.64,0,etransfer
E-000033,W-0001,2026-06-02,EMP-012,evening,8.5,230.68,0.00,27.31,203.37,0,payroll_card
E-000034,W-0001,2026-06-05,EMP-012,split,8.0,229.51,0.00,33.91,195.60,1,cash
E-000035,W-0001,2026-06-09,EMP-002,split,10.0,253.37,0.00,37.86,215.51,1,direct_deposit
E-000036,W-0001,2026-06-10,EMP-012,night,8.5,235.33,0.00,29.65,205.68,1,cash
E-000037,W-0001,2026-06-11,EMP-022,split,9.0,230.75,0.00,29.08,201.67,0,etransfer
E-000038,W-0001,2026-06-12,EMP-012,day,8.0,194.01,0.00,22.89,171.12,0,payroll_card
E-000039,W-0001,2026-06-15,EMP-012,split,10.0,221.54,0.00,24.41,197.13,1,payroll_card
E-000040,W-0001,2026-06-16,EMP-012,night,8.5,135.92,0.00,12.64,123.28,0,cash
E-000041,W-0001,2026-06-18,EMP-012,evening,8.0,159.24,0.00,15.31,143.93,0,etransfer
E-000042,W-0001,2026-06-19,EMP-011,split,10.0,219.69,0.00,36.55,183.14,1,payroll_card
E-000043,W-0001,2026-06-20,EMP-012,night,8.5,175.63,0.00,30.19,145.44,1,direct_deposit
E-000044,W-0001,2026-06-22,EMP-012,night,8.5,233.39,0.00,22.18,211.21,1,payroll_card
E-000045,W-0001,2026-06-23,EMP-012,night,8.0,186.07,0.00,26.50,159.57,0,direct_deposit
E-000046,W-0001,2026-06-24,EMP-015,night,9.0,126.52,0.00,21.57,104.95,0,cash
E-000047,W-0001,2026-06-26,EMP-012,evening,8.5,199.42,0.00,16.03,183.39,0,direct_deposit
E-000048,W-0001,2026-06-29,EMP-012,evening,8.5,157.16,0.00,14.94,142.22,0,etransfer
E-000049,W-0002,2026-04-02,EMP-007,day,5.7,137.80,14.01,13.60,138.21,1,cash
E-000050,W-0002,2026-04-03,EMP-035,night,9.8,231.92,29.45,22.64,238.73,1,cash
E-000051,W-0002,2026-04-05,EMP-009,split,9.9,127.55,10.27,11.87,125.95,1,cash
E-000052,W-0002,2026-04-10,EMP-007,night,8.8,123.64,6.90,13.58,116.96,1,cash
E-000053,W-0002,2026-04-11,EMP-009,day,8.3,112.19,12.68,11.16,113.71,1,payroll_card
E-000054,W-0002,2026-04-14,EMP-007,evening,9.6,195.32,22.35,34.55,183.12,1,cash
E-000055,W-0002,2026-04-15,EMP-007,split,9.2,182.73,22.03,14.79,189.97,1,payroll_card
E-000056,W-0002,2026-04-17,EMP-007,day,6.5,80.23,4.29,13.55,70.97,1,payroll_card
E-000057,W-0002,2026-04-18,EMP-007,evening,5.9,94.05,6.07,10.95,89.17,1,direct_deposit
E-000058,W-0002,2026-04-19,EMP-031,night,9.7,123.21,15.07,21.21,117.07,1,direct_deposit
E-000059,W-0002,2026-04-23,EMP-007,split,9.2,168.80,11.52,21.85,158.47,1,etransfer
E-000060,W-0002,2026-04-24,EMP-007,night,6.8,79.86,4.73,11.24,73.35,1,etransfer
E-000061,W-0002,2026-04-26,EMP-007,evening,9.7,177.69,8.34,26.73,159.30,1,direct_deposit
E-000062,W-0002,2026-04-27,EMP-007,night,10.0,160.61,16.10,26.63,150.08,1,cash
E-000063,W-0002,2026-04-28,EMP-029,evening,8.6,207.65,17.61,36.67,188.59,1,cash
E-000064,W-0002,2026-04-29,EMP-007,night,5.0,81.39,6.63,13.94,74.08,1,direct_deposit
E-000065,W-0002,2026-04-30,EMP-007,day,7.5,134.91,12.24,15.40,131.75,1,direct_deposit
E-000066,W-0002,2026-05-01,EMP-007,split,7.6,143.84,12.78,16.24,140.38,1,payroll_card
E-000067,W-0002,2026-05-02,EMP-007,evening,8.0,125.77,13.18,14.16,124.79,1,direct_deposit
E-000068,W-0002,2026-05-03,EMP-040,split,9.5,166.31,14.77,24.50,156.58,1,etransfer
E-000069,W-0002,2026-05-05,EMP-007,evening,5.0,103.39,7.19,17.35,93.23,1,direct_deposit
E-000070,W-0002,2026-05-06,EMP-016,evening,4.9,56.48,3.04,8.82,50.70,1,etransfer
E-000071,W-0002,2026-05-07,EMP-007,day,6.1,103.60,7.72,11.49,99.83,1,direct_deposit
E-000072,W-0002,2026-05-09,EMP-007,day,9.3,146.21,18.50,16.09,148.62,1,etransfer
E-000073,W-0002,2026-05-10,EMP-007,night,9.2,141.00,17.98,18.35,140.63,1,direct_deposit
E-000074,W-0002,2026-05-12,EMP-027,split,8.0,160.92,20.19,14.39,166.72,1,cash
E-000075,W-0002,2026-05-13,EMP-035,split,4.9,100.27,12.05,10.67,101.65,1,etransfer
E-000076,W-0002,2026-05-14,EMP-011,evening,7.3,110.35,10.49,18.43,102.41,1,direct_deposit
E-000077,W-0002,2026-05-15,EMP-007,split,9.5,138.37,11.09,22.15,127.31,1,payroll_card
E-000078,W-0002,2026-05-16,EMP-007,day,6.5,98.17,10.87,13.27,95.77,1,cash
E-000079,W-0002,2026-05-17,EMP-007,split,9.0,129.04,7.84,14.26,122.62,1,etransfer
E-000080,W-0002,2026-05-18,EMP-007,night,5.0,60.61,5.98,8.43,58.16,1,etransfer
E-000081,W-0002,2026-05-19,EMP-007,split,8.8,134.24,15.35,16.88,132.71,1,etransfer
E-000082,W-0002,2026-05-20,EMP-007,night,6.0,89.72,11.04,9.85,90.91,1,etransfer
E-000083,W-0002,2026-05-22,EMP-007,night,10.4,199.08,8.95,22.08,185.95,1,cash
E-000084,W-0002,2026-05-23,EMP-007,night,8.7,169.82,9.20,22.77,156.25,1,payroll_card
E-000085,W-0002,2026-05-24,EMP-007,day,8.8,175.54,20.64,29.63,166.55,1,etransfer
E-000086,W-0002,2026-05-26,EMP-007,evening,10.2,223.59,16.00,32.32,207.27,1,payroll_card
E-000087,W-0002,2026-05-27,EMP-007,night,5.4,89.20,6.22,12.25,83.17,1,direct_deposit
E-000088,W-0002,2026-05-29,EMP-007,split,7.3,167.63,8.69,14.31,162.01,1,direct_deposit
E-000089,W-0002,2026-05-30,EMP-002,day,9.9,216.72,10.70,29.83,197.59,1,payroll_card
E-000090,W-0002,2026-06-01,EMP-007,night,4.4,64.08,7.41,5.24,66.25,1,payroll_card
E-000091,W-0002,2026-06-02,EMP-007,split,5.9,101.04,10.93,11.72,100.25,1,cash
E-000092,W-0002,2026-06-03,EMP-007,day,4.8,66.15,3.04,11.85,57.34,1,cash
E-000093,W-0002,2026-06-04,EMP-007,night,9.1,200.95,24.28,18.52,206.71,1,payroll_card
E-000094,W-0002,2026-06-05,EMP-028,night,8.2,145.48,16.36,20.22,141.62,1,etransfer
E-000095,W-0002,2026-06-06,EMP-007,day,4.3,78.80,9.78,6.39,82.19,1,payroll_card
E-000096,W-0002,2026-06-07,EMP-007,split,7.1,124.59,10.35,10.10,124.84,1,direct_deposit
E-000097,W-0002,2026-06-10,EMP-007,day,6.6,176.17,21.00,19.03,178.14,1,cash
E-000098,W-0002,2026-06-11,EMP-034,evening,5.7,96.87,11.06,11.71,96.22,1,etransfer
E-000099,W-0002,2026-06-13,EMP-007,day,4.8,100.81,8.52,10.18,99.15,1,cash
E-000100,W-0002,2026-06-14,EMP-007,split,10.0,151.41,17.57,22.99,145.99,1,direct_deposit
E-000101,W-0002,2026-06-15,EMP-007,split,8.8,175.46,15.03,20.42,170.07,1,direct_deposit
E-000102,W-0002,2026-06-16,EMP-034,night,4.7,95.04,9.05,7.87,96.22,1,etransfer
E-000103,W-0002,2026-06-17,EMP-032,split,6.9,146.62,10.67,18.53,138.76,1,cash
E-000104,W-0002,2026-06-18,EMP-007,split,9.6,155.49,9.71,26.84,138.36,1,payroll_card
E-000105,W-0002,2026-06-20,EMP-007,day,9.5,191.23,9.04,22.13,178.14,1,cash
E-000106,W-0002,2026-06-25,EMP-013,evening,5.5,98.37,9.97,17.18,91.16,1,etransfer
E-000107,W-0002,2026-06-26,EMP-015,day,6.5,124.46,8.36,20.01,112.81,1,cash
E-000108,W-0002,2026-06-27,EMP-007,evening,8.5,155.04,7.23,16.05,146.22,1,direct_deposit
E-000109,W-0002,2026-06-30,EMP-007,day,5.8,76.54,6.73,9.67,73.60,1,direct_deposit
E-000110,W-0003,2026-04-01,EMP-005,evening,7.8,159.71,0.00,26.76,132.95,0,cash
E-000111,W-0003,2026-04-03,EMP-037,day,5.7,126.98,0.00,22.83,104.15,0,payroll_card
E-000112,W-0003,2026-04-04,EMP-037,night,9.4,193.24,0.00,22.19,171.05,1,payroll_card
E-000113,W-0003,2026-04-05,EMP-037,split,8.8,224.28,0.00,26.65,197.63,0,cash
E-000114,W-0003,2026-04-06,EMP-037,night,10.1,227.80,0.00,18.99,208.81,0,cash
E-000115,W-0003,2026-04-07,EMP-037,evening,10.4,255.32,0.00,28.56,226.76,0,payroll_card
E-000116,W-0003,2026-04-08,EMP-037,night,8.6,177.07,0.00,17.71,159.36,1,cash
E-000117,W-0003,2026-04-09,EMP-037,day,5.1,120.55,0.00,14.38,106.17,1,etransfer
E-000118,W-0003,2026-04-13,EMP-018,night,9.6,228.73,0.00,34.91,193.82,0,etransfer
E-000119,W-0003,2026-04-14,EMP-037,day,10.1,226.39,0.00,26.59,199.80,0,cash
E-000120,W-0003,2026-04-15,EMP-021,evening,8.3,177.67,0.00,27.13,150.54,0,payroll_card
E-000121,W-0003,2026-04-16,EMP-037,evening,7.3,152.87,0.00,15.20,137.67,1,payroll_card
E-000122,W-0003,2026-04-18,EMP-037,evening,5.3,112.47,0.00,19.39,93.08,0,direct_deposit
E-000123,W-0003,2026-04-20,EMP-037,night,7.8,159.72,0.00,26.61,133.11,0,payroll_card
E-000124,W-0003,2026-04-21,EMP-037,evening,8.6,200.77,0.00,17.01,183.76,0,etransfer
E-000125,W-0003,2026-04-22,EMP-037,evening,4.5,104.91,0.00,13.68,91.23,1,cash
E-000126,W-0003,2026-04-23,EMP-037,split,8.1,177.09,0.00,30.98,146.11,0,payroll_card
E-000127,W-0003,2026-04-26,EMP-037,night,5.0,111.77,0.00,11.31,100.46,0,direct_deposit
E-000128,W-0003,2026-04-27,EMP-037,split,9.6,224.12,0.00,24.85,199.27,0,payroll_card
E-000129,W-0003,2026-04-28,EMP-037,day,10.0,237.51,0.00,32.96,204.55,0,direct_deposit
E-000130,W-0003,2026-04-29,EMP-037,split,4.5,86.87,0.00,12.60,74.27,0,cash
E-000131,W-0003,2026-04-30,EMP-037,night,7.3,170.36,0.00,18.79,151.57,0,payroll_card
E-000132,W-0003,2026-05-01,EMP-003,split,6.9,168.06,0.00,18.28,149.78,0,direct_deposit
E-000133,W-0003,2026-05-04,EMP-037,night,9.1,201.73,0.00,22.17,179.56,0,direct_deposit
E-000134,W-0003,2026-05-06,EMP-037,evening,5.5,114.59,0.00,20.07,94.52,1,direct_deposit
E-000135,W-0003,2026-05-07,EMP-016,split,6.3,141.05,0.00,24.06,116.99,0,cash
E-000136,W-0003,2026-05-08,EMP-037,night,5.8,124.85,0.00,14.64,110.21,0,direct_deposit
E-000137,W-0003,2026-05-10,EMP-037,night,5.1,125.45,0.00,15.35,110.10,0,direct_deposit
E-000138,W-0003,2026-05-11,EMP-037,split,7.6,157.95,0.00,17.88,140.07,1,cash
E-000139,W-0003,2026-05-14,EMP-023,split,5.3,107.18,0.00,17.03,90.15,1,cash
E-000140,W-0003,2026-05-15,EMP-037,split,7.4,158.29,0.00,14.41,143.88,1,etransfer
E-000141,W-0003,2026-05-17,EMP-037,night,6.4,150.83,0.00,22.74,128.09,0,direct_deposit
E-000142,W-0003,2026-05-18,EMP-037,evening,4.9,106.21,0.00,17.37,88.84,1,etransfer
E-000143,W-0003,2026-05-20,EMP-037,split,7.3,158.15,0.00,21.21,136.94,0,etransfer
E-000144,W-0003,2026-05-22,EMP-037,day,6.6,154.35,0.00,15.61,138.74,0,etransfer
E-000145,W-0003,2026-05-23,EMP-037,split,7.8,173.76,0.00,20.54,153.22,1,cash
E-000146,W-0003,2026-05-24,EMP-037,day,6.9,162.71,0.00,25.17,137.54,0,direct_deposit
E-000147,W-0003,2026-05-25,EMP-037,evening,4.1,82.58,0.00,12.62,69.96,1,direct_deposit
E-000148,W-0003,2026-05-27,EMP-037,day,6.6,158.74,0.00,26.26,132.48,0,payroll_card
E-000149,W-0003,2026-05-29,EMP-020,split,8.6,206.64,0.00,22.29,184.35,0,direct_deposit
E-000150,W-0003,2026-05-30,EMP-026,day,5.8,125.95,0.00,21.63,104.32,0,etransfer
E-000151,W-0003,2026-05-31,EMP-037,night,4.4,95.04,0.00,7.74,87.30,0,direct_deposit
E-000152,W-0003,2026-06-01,EMP-037,evening,4.6,100.31,0.00,17.85,82.46,0,etransfer
E-000153,W-0003,2026-06-04,EMP-037,evening,9.6,232.05,0.00,24.18,207.87,0,payroll_card
E-000154,W-0003,2026-06-05,EMP-037,day,5.0,110.73,0.00,16.06,94.67,1,cash
E-000155,W-0003,2026-06-09,EMP-037,night,7.2,148.08,0.00,23.00,125.08,0,direct_deposit
E-000156,W-0003,2026-06-12,EMP-037,split,8.4,175.77,0.00,24.24,151.53,0,etransfer
E-000157,W-0003,2026-06-16,EMP-037,split,5.9,110.44,0.00,18.31,92.13,1,payroll_card
E-000158,W-0003,2026-06-17,EMP-005,split,4.3,102.63,0.00,9.51,93.12,0,payroll_card
E-000159,W-0003,2026-06-18,EMP-037,split,4.1,95.07,0.00,9.30,85.77,0,direct_deposit
E-000160,W-0003,2026-06-19,EMP-037,day,8.9,197.23,0.00,18.98,178.25,0,cash
E-000161,W-0003,2026-06-22,EMP-037,night,9.8,208.51,0.00,33.24,175.27,0,direct_deposit
E-000162,W-0003,2026-06-23,EMP-037,day,9.9,224.09,0.00,33.68,190.41,1,direct_deposit
E-000163,W-0003,2026-06-24,EMP-037,evening,5.2,109.35,0.00,18.17,91.18,1,etransfer
E-000164,W-0003,2026-06-25,EMP-032,day,8.3,180.34,0.00,27.38,152.96,0,payroll_card
E-000165,W-0003,2026-06-26,EMP-037,night,7.2,187.14,0.00,25.11,162.03,0,direct_deposit
E-000166,W-0003,2026-06-27,EMP-037,split,9.1,185.71,0.00,22.68,163.03,0,payroll_card
E-000167,W-0003,2026-06-29,EMP-037,day,8.7,213.43,0.00,28.52,184.91,0,cash
E-000168,W-0003,2026-06-30,EMP-037,night,5.3,116.40,0.00,16.29,100.11,0,cash
E-000169,W-0004,2026-04-01,EMP-030,split,5.6,120.01,3.68,14.20,109.49,1,cash
E-000170,W-0004,2026-04-02,EMP-030,night,7.0,175.06,8.70,28.65,155.11,0,etransfer
E-000171,W-0004,2026-04-03,EMP-030,night,4.9,118.89,3.05,17.49,104.45,1,payroll_card
E-000172,W-0004,2026-04-06,EMP-030,evening,5.0,126.79,4.60,22.41,108.98,1,direct_deposit
E-000173,W-0004,2026-04-07,EMP-030,day,6.3,166.46,4.40,21.79,149.07,1,etransfer
E-000174,W-0004,2026-04-08,EMP-030,night,9.0,222.55,13.07,38.17,197.45,1,payroll_card
E-000175,W-0004,2026-04-10,EMP-036,night,6.4,153.22,5.92,25.00,134.14,0,cash
E-000176,W-0004,2026-04-11,EMP-030,split,7.1,186.14,7.92,23.22,170.84,0,etransfer
E-000177,W-0004,2026-04-13,EMP-030,evening,4.5,125.18,2.59,15.40,112.37,1,cash
E-000178,W-0004,2026-04-14,EMP-030,night,10.4,248.14,16.01,26.89,237.26,0,etransfer
E-000179,W-0004,2026-04-15,EMP-013,evening,6.4,162.04,6.26,24.51,143.79,0,etransfer
E-000180,W-0004,2026-04-16,EMP-030,night,4.5,110.01,3.17,12.58,100.60,1,cash
E-000181,W-0004,2026-04-17,EMP-018,day,5.1,126.11,5.45,17.61,113.95,0,direct_deposit
E-000182,W-0004,2026-04-20,EMP-030,split,8.4,194.53,8.25,20.26,182.52,0,etransfer
E-000183,W-0004,2026-04-21,EMP-030,split,6.5,166.77,4.86,16.76,154.87,0,cash
E-000184,W-0004,2026-04-23,EMP-030,night,7.1,167.43,5.78,27.51,145.70,0,direct_deposit
E-000185,W-0004,2026-04-26,EMP-030,split,8.3,203.56,4.65,31.54,176.67,1,etransfer
E-000186,W-0004,2026-04-28,EMP-030,day,5.9,146.13,3.01,13.21,135.93,1,cash
E-000187,W-0004,2026-04-29,EMP-030,evening,8.7,152.12,4.29,18.19,138.22,0,direct_deposit
E-000188,W-0004,2026-04-30,EMP-030,day,8.8,235.57,5.74,30.87,210.44,1,payroll_card
E-000189,W-0004,2026-05-01,EMP-030,day,7.2,194.03,10.56,21.83,182.76,0,etransfer
E-000190,W-0004,2026-05-05,EMP-030,day,8.0,184.39,6.63,17.44,173.58,0,cash
E-000191,W-0004,2026-05-06,EMP-008,day,10.0,234.47,14.80,41.01,208.26,0,etransfer
E-000192,W-0004,2026-05-07,EMP-030,day,6.1,152.83,3.32,13.53,142.62,0,cash
E-000193,W-0004,2026-05-08,EMP-030,evening,7.0,180.81,8.18,20.58,168.41,0,cash
E-000194,W-0004,2026-05-10,EMP-030,night,8.2,174.87,5.49,24.27,156.09,0,direct_deposit
E-000195,W-0004,2026-05-11,EMP-030,night,4.6,85.44,3.46,14.38,74.52,0,etransfer
E-000196,W-0004,2026-05-14,EMP-030,split,7.0,179.47,4.90,26.79,157.58,0,cash
E-000197,W-0004,2026-05-15,EMP-030,evening,6.0,148.58,8.25,20.97,135.86,1,payroll_card
E-000198,W-0004,2026-05-19,EMP-027,evening,9.0,225.31,5.93,20.48,210.76,1,payroll_card
E-000199,W-0004,2026-05-20,EMP-030,split,8.4,185.17,11.78,16.43,180.52,0,direct_deposit
E-000200,W-0004,2026-05-21,EMP-030,split,4.3,101.94,4.77,12.63,94.08,0,payroll_card
E-000201,W-0004,2026-05-22,EMP-030,day,6.6,157.07,4.00,21.90,139.17,0,direct_deposit
E-000202,W-0004,2026-05-24,EMP-030,split,5.5,130.41,3.51,22.70,111.22,0,etransfer
E-000203,W-0004,2026-05-25,EMP-029,split,9.0,192.05,8.34,26.87,173.52,1,etransfer
E-000204,W-0004,2026-05-26,EMP-030,evening,5.6,141.89,8.72,24.67,125.94,0,payroll_card
E-000205,W-0004,2026-05-29,EMP-030,night,9.9,245.36,8.79,26.66,227.49,0,direct_deposit
E-000206,W-0004,2026-05-31,EMP-030,evening,5.1,110.68,5.49,10.99,105.18,0,direct_deposit
E-000207,W-0004,2026-06-04,EMP-030,night,4.4,123.87,2.61,15.59,110.89,1,payroll_card
E-000208,W-0004,2026-06-05,EMP-037,day,5.3,115.99,6.53,12.45,110.07,0,etransfer
E-000209,W-0004,2026-06-07,EMP-030,split,4.7,126.84,8.13,15.14,119.83,1,cash
E-000210,W-0004,2026-06-09,EMP-030,night,8.1,183.72,10.32,31.61,162.43,0,etransfer
E-000211,W-0004,2026-06-10,EMP-030,day,9.9,211.50,7.17,32.60,186.07,0,cash
E-000212,W-0004,2026-06-11,EMP-030,night,5.6,126.60,3.00,14.73,114.87,0,etransfer
E-000213,W-0004,2026-06-12,EMP-030,day,7.2,183.45,7.12,26.35,164.22,1,payroll_card
E-000214,W-0004,2026-06-13,EMP-030,night,6.2,121.49,3.60,17.46,107.63,0,etransfer
E-000215,W-0004,2026-06-14,EMP-016,split,4.6,81.25,2.81,13.14,70.92,0,payroll_card
E-000216,W-0004,2026-06-15,EMP-030,day,5.4,125.13,3.67,11.86,116.94,1,direct_deposit
E-000217,W-0004,2026-06-17,EMP-030,night,6.4,157.82,9.29,19.72,147.39,1,cash
E-000218,W-0004,2026-06-18,EMP-030,evening,6.4,141.63,6.94,23.66,124.91,0,etransfer
E-000219,W-0004,2026-06-21,EMP-030,night,9.8,222.93,5.33,17.90,210.36,0,etransfer
E-000220,W-0004,2026-06-22,EMP-023,split,10.4,261.24,5.83,37.98,229.09,1,payroll_card
E-000221,W-0004,2026-06-23,EMP-030,evening,9.1,226.19,13.17,35.93,203.43,0,direct_deposit
E-000222,W-0004,2026-06-24,EMP-030,day,10.0,236.91,10.33,23.93,223.31,1,payroll_card
E-000223,W-0004,2026-06-26,EMP-030,evening,8.2,184.47,3.90,22.79,165.58,0,direct_deposit
E-000224,W-0004,2026-06-28,EMP-030,evening,5.1,114.88,2.66,20.31,97.23,0,cash
E-000225,W-0004,2026-06-29,EMP-030,evening,6.0,147.49,9.07,16.51,140.05,1,cash
E-000226,W-0004,2026-06-30,EMP-030,split,5.9,148.91,8.94,20.00,137.85,0,cash
E-000227,W-0005,2026-04-01,EMP-017,night,9.2,261.32,0.00,24.57,236.75,1,direct_deposit
E-000228,W-0005,2026-04-02,EMP-017,day,10.0,219.18,0.00,37.31,181.87,1,etransfer
E-000229,W-0005,2026-04-03,EMP-017,night,7.8,177.36,0.00,26.75,150.61,0,direct_deposit
E-000230,W-0005,2026-04-06,EMP-017,day,8.6,200.36,0.00,18.40,181.96,0,direct_deposit
E-000231,W-0005,2026-04-07,EMP-026,evening,9.6,209.80,0.00,34.18,175.62,0,cash
E-000232,W-0005,2026-04-08,EMP-011,split,5.8,132.25,0.00,11.58,120.67,0,direct_deposit
E-000233,W-0005,2026-04-09,EMP-027,evening,9.5,227.47,0.00,21.27,206.20,0,direct_deposit
E-000234,W-0005,2026-04-10,EMP-017,split,6.7,184.04,0.00,30.43,153.61,0,direct_deposit
E-000235,W-0005,2026-04-13,EMP-017,day,8.2,179.29,0.00,19.34,159.95,0,direct_deposit
E-000236,W-0005,2026-04-14,EMP-017,day,8.0,168.95,0.00,15.02,153.93,0,cash
E-000237,W-0005,2026-04-15,EMP-017,day,6.4,145.16,0.00,20.50,124.66,0,cash
E-000238,W-0005,2026-04-16,EMP-017,night,6.8,179.64,0.00,20.52,159.12,0,payroll_card
E-000239,W-0005,2026-04-17,EMP-017,split,8.7,188.73,0.00,27.71,161.02,0,etransfer
E-000240,W-0005,2026-04-18,EMP-017,evening,5.6,129.14,0.00,20.31,108.83,0,cash
E-000241,W-0005,2026-04-20,EMP-017,split,9.4,238.95,0.00,20.89,218.06,0,direct_deposit
E-000242,W-0005,2026-04-22,EMP-017,night,9.4,203.76,0.00,35.44,168.32,0,payroll_card
E-000243,W-0005,2026-04-24,EMP-017,evening,10.5,224.49,0.00,33.85,190.64,1,cash
E-000244,W-0005,2026-04-26,EMP-017,night,9.9,239.23,0.00,37.21,202.02,0,payroll_card
E-000245,W-0005,2026-04-27,EMP-038,day,4.1,105.75,0.00,11.96,93.79,0,cash
E-000246,W-0005,2026-05-01,EMP-017,day,5.9,116.89,0.00,10.52,106.37,1,cash
E-000247,W-0005,2026-05-02,EMP-017,day,8.1,178.66,0.00,21.75,156.91,0,direct_deposit
E-000248,W-0005,2026-05-03,EMP-017,day,4.6,111.38,0.00,16.48,94.90,0,payroll_card
E-000249,W-0005,2026-05-04,EMP-017,day,7.6,186.64,0.00,29.93,156.71,1,etransfer
E-000250,W-0005,2026-05-05,EMP-017,split,4.0,90.63,0.00,11.12,79.51,1,payroll_card
E-000251,W-0005,2026-05-06,EMP-017,day,7.0,158.97,0.00,28.25,130.72,1,direct_deposit
E-000252,W-0005,2026-05-08,EMP-014,day,5.4,125.69,0.00,16.03,109.66,0,cash
E-000253,W-0005,2026-05-10,EMP-017,night,5.1,121.05,0.00,13.63,107.42,1,payroll_card
E-000254,W-0005,2026-05-11,EMP-017,evening,8.1,200.30,0.00,31.32,168.98,1,payroll_card
E-000255,W-0005,2026-05-12,EMP-017,day,4.4,90.18,0.00,14.45,75.73,1,cash
E-000256,W-0005,2026-05-15,EMP-017,split,7.0,160.10,0.00,18.41,141.69,1,payroll_card
E-000257,W-0005,2026-05-16,EMP-017,day,8.4,218.49,0.00,35.38,183.11,0,direct_deposit
E-000258,W-0005,2026-05-18,EMP-017,night,5.9,132.59,0.00,12.12,120.47,1,payroll_card
E-000259,W-0005,2026-05-20,EMP-017,night,10.3,244.26,0.00,28.07,216.19,0,payroll_card
E-000260,W-0005,2026-05-21,EMP-017,day,4.3,90.20,0.00,10.56,79.64,0,direct_deposit
E-000261,W-0005,2026-05-22,EMP-003,night,4.7,112.48,0.00,11.09,101.39,0,payroll_card
E-000262,W-0005,2026-05-25,EMP-017,split,8.1,175.65,0.00,21.04,154.61,1,etransfer
E-000263,W-0005,2026-05-27,EMP-017,night,7.5,183.88,0.00,18.79,165.09,1,etransfer
E-000264,W-0005,2026-05-29,EMP-017,evening,7.3,192.19,0.00,18.30,173.89,0,direct_deposit
