txn_id,worker_id,txn_ts,direction,amount_cad,category,merchant_type,channel,is_essential,running_balance_cad,notes
T-0000020,W-0001,2026-05-05T09:06:00,credit,316.73,income,employer_payroll,cash,0,3996.71,linked_earnings_id=E-000020
T-0000056,W-0001,2026-05-05T09:36:00,debit,154.00,utilities,utilities,debit,1,2292.73,obligation_id=O-00003
T-0000097,W-0001,2026-05-05T18:21:00,debit,17.45,food_out,restaurant_cafe,cash,0,216.06,
T-0000098,W-0001,2026-05-05T22:56:00,debit,41.56,food_out,restaurant_cafe,etransfer,0,174.50,
T-0000099,W-0001,2026-05-07T08:52:00,debit,78.95,cash_withdrawal,atm,cash,0,95.55,
T-0000100,W-0001,2026-05-07T21:36:00,debit,60.81,remittance,money_transfer,cash,1,34.74,
T-0000101,W-0001,2026-05-08T21:49:00,debit,28.22,food_out,restaurant_cafe,cash,0,6.52,
T-0000021,W-0001,2026-05-09T08:22:00,credit,178.61,income,employer_payroll,cash,0,4175.32,linked_earnings_id=E-000021
T-0000022,W-0001,2026-05-10T16:19:00,credit,141.79,income,employer_payroll,cash,0,4317.11,linked_earnings_id=E-000022
T-0000102,W-0001,2026-05-11T19:34:00,debit,107.16,cash_withdrawal,atm,cash,0,-100.64,
T-0000025,W-0001,2026-05-14T17:12:00,credit,179.01,income,employer_payroll,payroll_card,0,4862.28,linked_earnings_id=E-000025
T-0000026,W-0001,2026-05-15T20:27:00,credit,150.32,income,employer_payroll,payroll_card,0,5012.60,linked_earnings_id=E-000026
T-0000023,W-0001,2026-05-16T09:06:00,credit,174.04,income,employer_payroll,etransfer,0,4491.15,linked_earnings_id=E-000023
T-0000024,W-0001,2026-05-16T10:11:00,credit,192.12,income,employer_payroll,payroll_card,0,4683.27,linked_earnings_id=E-000024
T-0000027,W-0001,2026-05-21T09:36:00,credit,206.89,income,employer_payroll,direct_deposit,0,5219.49,linked_earnings_id=E-000027
T-0000059,W-0001,2026-05-22T08:48:00,debit,9.99,entertainment,streaming_/_subscription,debit,0,2118.75,obligation_id=O-00004
T-0000029,W-0001,2026-05-23T09:37:00,credit,200.39,income,employer_payroll,payroll_card,0,5651.92,linked_earnings_id=E-000029
T-0000028,W-0001,2026-05-24T07:37:00,credit,232.04,income,employer_payroll,direct_deposit,0,5451.53,linked_earnings_id=E-000028
T-0000103,W-0001,2026-05-25T20:11:00,debit,37.90,cash_withdrawal,atm,cash,0,-138.54,
T-0000031,W-0001,2026-05-28T20:04:00,credit,161.48,income,employer_payroll,etransfer,0,5924.88,linked_earnings_id=E-000031
T-0000030,W-0001,2026-05-31T11:54:00,credit,111.48,income,employer_payroll,cash,0,5763.40,linked_earnings_id=E-000030
T-0000051,W-0001,2026-06-01T07:29:00,debit,2056.00,housing,rent,etransfer,1,2798.73,obligation_id=O-00001
T-0000054,W-0001,2026-06-01T08:43:00,debit,66.00,phone,mobile_phone,debit,1,2600.73,obligation_id=O-00002
T-0000032,W-0001,2026-06-02T11:39:00,credit,254.64,income,employer_payroll,etransfer,0,6179.52,linked_earnings_id=E-000032
T-0000104,W-0001,2026-06-03T08:49:00,debit,5.00,groceries,grocery,prepaid,1,-143.54,
T-0000057,W-0001,2026-06-05T06:16:00,debit,154.00,utilities,utilities,etransfer,1,2138.73,obligation_id=O-00003
T-0000034,W-0001,2026-06-05T21:07:00,credit,195.60,income,employer_payroll,cash,0,6578.49,linked_earnings_id=E-000034
T-0000033,W-0001,2026-06-06T08:25:00,credit,203.37,income,employer_payroll,payroll_card,0,6382.89,linked_earnings_id=E-000033
T-0000105,W-0001,2026-06-08T13:33:00,debit,5.00,transit,transit_fuel,cash,1,-148.54,
T-0000035,W-0001,2026-06-09T16:29:00,credit,215.51,income,employer_payroll,direct_deposit,0,6794.00,linked_earnings_id=E-000035
T-0000036,W-0001,2026-06-10T19:07:00,credit,205.68,income,employer_payroll,cash,0,6999.68,linked_earnings_id=E-000036
T-0000037,W-0001,2026-06-14T09:37:00,credit,201.67,income,employer_payroll,etransfer,0,7201.35,linked_earnings_id=E-000037
T-0000038,W-0001,2026-06-15T11:27:00,credit,171.12,income,employer_payroll,payroll_card,0,7372.47,linked_earnings_id=E-000038
T-0000039,W-0001,2026-06-15T16:49:00,credit,197.13,income,employer_payroll,payroll_card,0,7569.60,linked_earnings_id=E-000039
T-0000040,W-0001,2026-06-17T11:24:00,credit,123.28,income,employer_payroll,cash,0,7692.88,linked_earnings_id=E-000040
T-0000042,W-0001,2026-06-19T16:54:00,credit,183.14,income,employer_payroll,payroll_card,0,8019.95,linked_earnings_id=E-000042
T-0000043,W-0001,2026-06-20T21:19:00,credit,145.44,income,employer_payroll,direct_deposit,0,8165.39,linked_earnings_id=E-000043
T-0000041,W-0001,2026-06-21T07:04:00,credit,143.93,income,employer_payroll,etransfer,0,7836.81,linked_earnings_id=E-000041
T-0000060,W-0001,2026-06-22T08:03:00,debit,9.99,entertainment,streaming_/_subscription,debit,0,2108.76,obligation_id=O-00004
T-0000044,W-0001,2026-06-22T16:54:00,credit,211.21,income,employer_payroll,payroll_card,0,8376.60,linked_earnings_id=E-000044
T-0000046,W-0001,2026-06-27T08:51:00,credit,104.95,income,employer_payroll,cash,0,8641.12,linked_earnings_id=E-000046
T-0000045,W-0001,2026-06-28T11:45:00,credit,159.57,income,employer_payroll,direct_deposit,0,8536.17,linked_earnings_id=E-000045
T-0000047,W-0001,2026-06-30T11:53:00,credit,183.39,income,employer_payroll,direct_deposit,0,8824.51,linked_earnings_id=E-000047
T-0000048,W-0001,2026-07-03T07:30:00,credit,142.22,income,employer_payroll,etransfer,0,8966.73,linked_earnings_id=E-000048
T-0000167,W-0002,2026-04-01T08:47:00,debit,1352.00,housing,rent,debit,1,6704.69,obligation_id=O-00005
T-0000179,W-0002,2026-04-02T08:59:00,debit,48.44,clothing,retail,etransfer,0,3130.28,
T-0000106,W-0002,2026-04-02T16:25:00,credit,138.21,income,employer_payroll,cash,0,319.57,linked_earnings_id=E-000049
T-0000170,W-0002,2026-04-03T07:06:00,debit,76.00,phone,mobile_phone,debit,1,3924.69,obligation_id=O-00006
T-0000107,W-0002,2026-04-03T22:28:00,credit,238.73,income,employer_payroll,cash,0,558.30,linked_earnings_id=E-000050
T-0000180,W-0002,2026-04-04T21:03:00,debit,72.04,debt_payment,loan_credit,prepaid,1,3058.24,
T-0000173,W-0002,2026-04-05T06:33:00,debit,188.00,utilities,utilities,debit,1,3584.69,obligation_id=O-00007
T-0000182,W-0002,2026-04-05T11:26:00,debit,30.98,transit,transit_fuel,cash,1,2947.25,
T-0000181,W-0002,2026-04-05T15:09:00,debit,80.01,groceries,grocery,cash,1,2978.23,
T-0000108,W-0002,2026-04-05T19:37:00,credit,125.95,income,employer_payroll,cash,0,684.25,linked_earnings_id=E-000051
T-0000183,W-0002,2026-04-06T21:09:00,debit,50.79,groceries,grocery,prepaid,1,2896.46,
T-0000184,W-0002,2026-04-07T21:57:00,debit,44.50,misc,general,debit,0,2851.96,
T-0000185,W-0002,2026-04-09T09:19:00,debit,29.39,personal_care,pharmacy_retail,etransfer,0,2822.57,
T-0000186,W-0002,2026-04-10T10:46:00,debit,23.43,groceries,grocery,debit,1,2799.14,
T-0000187,W-0002,2026-04-10T11:52:00,debit,57.99,childcare,childcare,debit,1,2741.15,
T-0000109,W-0002,2026-04-10T22:29:00,credit,116.96,income,employer_payroll,cash,0,801.21,linked_earnings_id=E-000052
T-0000188,W-0002,2026-04-11T18:52:00,debit,81.62,childcare,childcare,prepaid,1,2659.53,
T-0000110,W-0002,2026-04-11T21:52:00,credit,113.71,income,employer_payroll,payroll_card,0,914.92,linked_earnings_id=E-000053
T-0000190,W-0002,2026-04-12T15:06:00,debit,57.99,transit,transit_fuel,etransfer,1,2566.15,
T-0000189,W-0002,2026-04-12T17:29:00,debit,35.39,transit,transit_fuel,etransfer,1,2624.14,
T-0000191,W-0002,2026-04-12T20:55:00,debit,39.15,food_out,restaurant_cafe,cash,0,2527.00,
T-0000192,W-0002,2026-04-13T19:59:00,debit,23.67,childcare,childcare,cash,1,2503.33,
T-0000193,W-0002,2026-04-14T11:25:00,debit,39.40,food_out,restaurant_cafe,etransfer,0,2463.93,
T-0000111,W-0002,2026-04-14T20:23:00,credit,183.12,income,employer_payroll,cash,0,1098.04,linked_earnings_id=E-000054
T-0000194,W-0002,2026-04-15T07:55:00,debit,57.15,transit,transit_fuel,debit,1,2406.78,
T-0000176,W-0002,2026-04-15T09:15:00,debit,9.99,entertainment,streaming_/_subscription,debit,0,3198.70,obligation_id=O-00008
T-0000112,W-0002,2026-04-15T21:30:00,credit,189.97,income,employer_payroll,payroll_card,0,1288.01,linked_earnings_id=E-000055
T-0000196,W-0002,2026-04-16T21:05:00,debit,29.95,groceries,grocery,cash,1,2281.94,
T-0000195,W-0002,2026-04-16T22:01:00,debit,94.89,debt_payment,loan_credit,etransfer,1,2311.89,
T-0000198,W-0002,2026-04-17T09:06:00,debit,13.58,entertainment,streaming_leisure,etransfer,0,2206.31,
T-0000197,W-0002,2026-04-17T10:27:00,debit,62.05,debt_payment,loan_credit,prepaid,1,2219.89,
T-0000113,W-0002,2026-04-17T19:39:00,credit,70.97,income,employer_payroll,payroll_card,0,1358.98,linked_earnings_id=E-000056
T-0000199,W-0002,2026-04-18T07:44:00,debit,16.50,misc,general,prepaid,0,2189.81,
T-0000114,W-0002,2026-04-18T16:40:00,credit,89.17,income,employer_payroll,direct_deposit,0,1448.15,linked_earnings_id=E-000057
T-0000200,W-0002,2026-04-19T18:29:00,debit,33.29,food_out,restaurant_cafe,cash,0,2156.52,
T-0000115,W-0002,2026-04-19T19:56:00,credit,117.07,income,employer_payroll,direct_deposit,0,1565.22,linked_earnings_id=E-000058
T-0000201,W-0002,2026-04-19T20:07:00,debit,75.67,cash_withdrawal,atm,cash,0,2080.85,
T-0000203,W-0002,2026-04-20T20:20:00,debit,26.31,transit,transit_fuel,prepaid,1,1977.49,
T-0000202,W-0002,2026-04-20T21:48:00,debit,77.05,groceries,grocery,cash,1,2003.80,
T-0000204,W-0002,2026-04-21T11:04:00,debit,73.10,groceries,grocery,debit,1,1904.39,
T-0000206,W-0002,2026-04-23T12:26:00,debit,74.38,groceries,grocery,cash,1,1785.71,
T-0000205,W-0002,2026-04-23T15:12:00,debit,44.30,transit,transit_fuel,cash,1,1860.09,
T-0000116,W-0002,2026-04-23T18:37:00,credit,158.47,income,employer_payroll,etransfer,0,1723.69,linked_earnings_id=E-000059
T-0000207,W-0002,2026-04-24T16:13:00,debit,22.48,transit,transit_fuel,etransfer,1,1763.23,
T-0000117,W-0002,2026-04-24T19:44:00,credit,73.35,income,employer_payroll,etransfer,0,1797.04,linked_earnings_id=E-000060
T-0000208,W-0002,2026-04-26T13:30:00,debit,12.25,groceries,grocery,cash,1,1750.98,
T-0000209,W-0002,2026-04-26T14:14:00,debit,40.87,transit,transit_fuel,prepaid,1,1710.11,
T-0000118,W-0002,2026-04-26T19:51:00,credit,159.30,income,employer_payroll,direct_deposit,0,1956.34,linked_earnings_id=E-000061
T-0000210,W-0002,2026-04-26T20:13:00,debit,45.72,childcare,childcare,cash,1,1664.39,
T-0000211,W-0002,2026-04-27T20:14:00,debit,61.35,groceries,grocery,cash,1,1603.04,
T-0000119,W-0002,2026-04-27T22:12:00,credit,150.08,income,employer_payroll,cash,0,2106.42,linked_earnings_id=E-000062
T-0000212,W-0002,2026-04-28T07:52:00,debit,8.42,entertainment,streaming_leisure,etransfer,0,1594.62,
T-0000120,W-0002,2026-04-28T20:53:00,credit,188.59,income,employer_payroll,cash,0,2295.01,linked_earnings_id=E-000063
T-0000121,W-0002,2026-04-29T22:19:00,credit,74.08,income,employer_payroll,direct_deposit,0,2369.09,linked_earnings_id=E-000064
T-0000213,W-0002,2026-04-30T13:05:00,debit,47.28,groceries,grocery,cash,1,1547.34,
T-0000214,W-0002,2026-04-30T18:23:00,debit,20.74,groceries,grocery,debit,1,1526.60,
T-0000122,W-0002,2026-04-30T19:02:00,credit,131.75,income,employer_payroll,direct_deposit,0,2500.84,linked_earnings_id=E-000065
T-0000215,W-0002,2026-04-30T21:58:00,debit,66.93,groceries,grocery,etransfer,1,1459.67,
T-0000168,W-0002,2026-05-01T07:05:00,debit,1352.00,housing,rent,cash,1,5352.69,obligation_id=O-00005
T-0000216,W-0002,2026-05-01T14:48:00,debit,27.24,transit,transit_fuel,debit,1,1432.43,
T-0000123,W-0002,2026-05-01T19:42:00,credit,140.38,income,employer_payroll,payroll_card,0,2641.22,linked_earnings_id=E-000066
T-0000217,W-0002,2026-05-02T16:40:00,debit,68.44,groceries,grocery,etransfer,1,1363.99,
T-0000218,W-0002,2026-05-02T16:51:00,debit,26.38,cash_withdrawal,atm,cash,0,1337.61,
T-0000219,W-0002,2026-05-02T20:12:00,debit,26.53,entertainment,streaming_leisure,etransfer,0,1311.08,
T-0000124,W-0002,2026-05-02T21:53:00,credit,124.79,income,employer_payroll,direct_deposit,0,2766.01,linked_earnings_id=E-000067
T-0000171,W-0002,2026-05-03T07:44:00,debit,76.00,phone,mobile_phone,debit,1,3848.69,obligation_id=O-00006
T-0000220,W-0002,2026-05-03T09:08:00,debit,27.72,childcare,childcare,prepaid,1,1283.36,
T-0000221,W-0002,2026-05-03T13:22:00,debit,67.81,cash_withdrawal,atm,cash,0,1215.55,
T-0000222,W-0002,2026-05-03T13:54:00,debit,38.93,entertainment,streaming_leisure,prepaid,0,1176.62,
T-0000125,W-0002,2026-05-03T22:04:00,credit,156.58,income,employer_payroll,etransfer,0,2922.59,linked_earnings_id=E-000068
T-0000224,W-0002,2026-05-04T07:28:00,debit,25.54,misc,general,prepaid,0,1106.44,
T-0000223,W-0002,2026-05-04T15:57:00,debit,44.64,entertainment,streaming_leisure,cash,0,1131.98,
T-0000225,W-0002,2026-05-04T18:16:00,debit,9.33,food_out,restaurant_cafe,cash,0,1097.11,
T-0000174,W-0002,2026-05-05T09:52:00,debit,188.00,utilities,utilities,debit,1,3396.69,obligation_id=O-00007
T-0000126,W-0002,2026-05-05T17:58:00,credit,93.23,income,employer_payroll,direct_deposit,0,3015.82,linked_earnings_id=E-000069
T-0000226,W-0002,2026-05-06T07:27:00,debit,79.68,childcare,childcare,cash,1,1017.43,
T-0000227,W-0002,2026-05-06T16:51:00,debit,29.27,misc,general,cash,0,988.16,
T-0000127,W-0002,2026-05-06T20:49:00,credit,50.70,income,employer_payroll,etransfer,0,3066.52,linked_earnings_id=E-000070
T-0000228,W-0002,2026-05-07T15:41:00,debit,51.54,groceries,grocery,cash,1,936.62,
T-0000128,W-0002,2026-05-07T19:48:00,credit,99.83,income,employer_payroll,direct_deposit,0,3166.35,linked_earnings_id=E-000071
T-0000229,W-0002,2026-05-08T17:41:00,debit,36.57,food_out,restaurant_cafe,cash,0,900.05,
T-0000230,W-0002,2026-05-08T22:27:00,debit,37.46,childcare,childcare,cash,1,862.59,
T-0000129,W-0002,2026-05-09T21:40:00,credit,148.62,income,employer_payroll,etransfer,0,3314.97,linked_earnings_id=E-000072
T-0000231,W-0002,2026-05-10T16:21:00,debit,88.99,groceries,grocery,debit,1,773.60,
T-0000130,W-0002,2026-05-10T17:03:00,credit,140.63,income,employer_payroll,direct_deposit,0,3455.60,linked_earnings_id=E-000073
T-0000232,W-0002,2026-05-11T10:32:00,debit,129.31,remittance,money_transfer,etransfer,1,644.29,
T-0000233,W-0002,2026-05-11T14:59:00,debit,24.30,personal_care,pharmacy_retail,prepaid,0,619.99,
T-0000234,W-0002,2026-05-12T17:24:00,debit,97.76,cash_withdrawal,atm,cash,0,522.23,
T-0000131,W-0002,2026-05-12T22:24:00,credit,166.72,income,employer_payroll,cash,0,3622.32,linked_earnings_id=E-000074
T-0000235,W-0002,2026-05-13T08:06:00,debit,52.20,childcare,childcare,etransfer,1,470.03,
T-0000236,W-0002,2026-05-13T10:18:00,debit,17.29,entertainment,streaming_leisure,prepaid,0,452.74,
T-0000132,W-0002,2026-05-13T17:51:00,credit,101.65,income,employer_payroll,etransfer,0,3723.97,linked_earnings_id=E-000075
T-0000238,W-0002,2026-05-14T07:04:00,debit,11.40,transit,transit_fuel,cash,1,376.02,
T-0000237,W-0002,2026-05-14T17:07:00,debit,65.32,groceries,grocery,cash,1,387.42,
T-0000133,W-0002,2026-05-14T21:39:00,credit,102.41,income,employer_payroll,direct_deposit,0,3826.38,linked_earnings_id=E-000076
T-0000177,W-0002,2026-05-15T10:23:00,debit,9.99,entertainment,streaming_/_subscription,debit,0,3188.71,obligation_id=O-00008
T-0000134,W-0002,2026-05-15T21:37:00,credit,127.31,income,employer_payroll,payroll_card,0,3953.69,linked_earnings_id=E-000077
T-0000240,W-0002,2026-05-16T13:18:00,debit,85.88,debt_payment,loan_credit,etransfer,1,270.47,
T-0000239,W-0002,2026-05-16T21:51:00,debit,19.67,entertainment,streaming_leisure,debit,0,356.35,
T-0000135,W-0002,2026-05-16T22:35:00,credit,95.77,income,employer_payroll,cash,0,4049.46,linked_earnings_id=E-000078
T-0000136,W-0002,2026-05-17T21:27:00,credit,122.62,income,employer_payroll,etransfer,0,4172.08,linked_earnings_id=E-000079
T-0000241,W-0002,2026-05-17T22:47:00,debit,79.73,groceries,grocery,debit,1,190.74,
T-0000243,W-0002,2026-05-18T10:57:00,debit,33.62,transit,transit_fuel,debit,1,127.74,
T-0000242,W-0002,2026-05-18T15:21:00,debit,29.38,transit,transit_fuel,debit,1,161.36,
T-0000137,W-0002,2026-05-18T18:35:00,credit,58.16,income,employer_payroll,etransfer,0,4230.24,linked_earnings_id=E-000080
T-0000244,W-0002,2026-05-19T07:36:00,debit,12.46,groceries,grocery,debit,1,115.28,
T-0000245,W-0002,2026-05-19T09:35:00,debit,43.11,transit,transit_fuel,prepaid,1,72.17,
T-0000138,W-0002,2026-05-19T21:38:00,credit,132.71,income,employer_payroll,etransfer,0,4362.95,linked_earnings_id=E-000081
T-0000246,W-0002,2026-05-20T13:18:00,debit,22.16,entertainment,streaming_leisure,debit,0,50.01,
T-0000139,W-0002,2026-05-20T21:39:00,credit,90.91,income,employer_payroll,etransfer,0,4453.86,linked_earnings_id=E-000082
T-0000247,W-0002,2026-05-21T22:52:00,debit,28.82,clothing,retail,prepaid,0,21.19,
T-0000140,W-0002,2026-05-22T19:49:00,credit,185.95,income,employer_payroll,cash,0,4639.81,linked_earnings_id=E-000083
T-0000141,W-0002,2026-05-23T16:54:00,credit,156.25,income,employer_payroll,payroll_card,0,4796.06,linked_earnings_id=E-000084
T-0000142,W-0002,2026-05-24T22:44:00,credit,166.55,income,employer_payroll,etransfer,0,4962.61,linked_earnings_id=E-000085
T-0000248,W-0002,2026-05-26T07:41:00,debit,38.35,transit,transit_fuel,etransfer,1,-17.16,
T-0000143,W-0002,2026-05-26T20:03:00,credit,207.27,income,employer_payroll,payroll_card,0,5169.88,linked_earnings_id=E-000086
T-0000144,W-0002,2026-05-27T17:27:00,credit,83.17,income,employer_payroll,direct_deposit,0,5253.05,linked_earnings_id=E-000087
T-0000145,W-0002,2026-05-29T22:35:00,credit,162.01,income,employer_payroll,direct_deposit,0,5415.06,linked_earnings_id=E-000088
T-0000146,W-0002,2026-05-30T18:20:00,credit,197.59,income,employer_payroll,payroll_card,0,5612.65,linked_earnings_id=E-000089
T-0000169,W-0002,2026-06-01T09:46:00,debit,1352.00,housing,rent,debit,1,4000.69,obligation_id=O-00005
T-0000147,W-0002,2026-06-01T19:46:00,credit,66.25,income,employer_payroll,payroll_card,0,5678.90,linked_earnings_id=E-000090
T-0000148,W-0002,2026-06-02T21:26:00,credit,100.25,income,employer_payroll,cash,0,5779.15,linked_earnings_id=E-000091
T-0000172,W-0002,2026-06-03T06:42:00,debit,76.00,phone,mobile_phone,debit,1,3772.69,obligation_id=O-00006
T-0000149,W-0002,2026-06-03T16:39:00,credit,57.34,income,employer_payroll,cash,0,5836.49,linked_earnings_id=E-000092
T-0000150,W-0002,2026-06-04T18:12:00,credit,206.71,income,employer_payroll,payroll_card,0,6043.20,linked_earnings_id=E-000093
T-0000175,W-0002,2026-06-05T09:02:00,debit,188.00,utilities,utilities,debit,1,3208.69,obligation_id=O-00007
T-0000151,W-0002,2026-06-05T21:55:00,credit,141.62,income,employer_payroll,etransfer,0,6184.82,linked_earnings_id=E-000094
T-0000152,W-0002,2026-06-06T20:52:00,credit,82.19,income,employer_payroll,payroll_card,0,6267.01,linked_earnings_id=E-000095
T-0000153,W-0002,2026-06-07T18:17:00,credit,124.84,income,employer_payroll,direct_deposit,0,6391.85,linked_earnings_id=E-000096
T-0000154,W-0002,2026-06-10T19:12:00,credit,178.14,income,employer_payroll,cash,0,6569.99,linked_earnings_id=E-000097
